V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
-99.99,OGLE-GD-CEP-1454,1,19.130403,16.95625,-99.99,-99.99,DG1158.05.38,-99.99,13.437,-99.99,2.7290178,3.09e-05,2460001.5552,0.231,0.102,3.75,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1455,F,19.131983,7.252833,-99.99,-99.99,DG1332.05.2753,-99.99,15.957,-99.99,9.4031767,0.0016076,2460001.4034,0.433,0.099,6.137,0.12,5.573,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1456,F,19.133492,10.379583,-99.99,-99.99,DG1164.22.12383,-99.99,16.954,-99.99,2.5536179,0.0002457,2460000.6272,0.369,0.387,4.439,0.226,2.931,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1457,F,19.136933,8.650083,-99.99,-99.99,DG1165.12.170,-99.99,16.72,-99.99,23.0474756,0.0023161,2460009.5981,0.745,0.307,4.807,0.229,2.984,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1458,F,19.145342,14.612972,-99.99,-99.99,DG1160.04.14629,-99.99,14.649,-99.99,2.8184929,2.5e-05,2460001.4595,0.637,0.513,4.535,0.307,2.849,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1459,1,19.147158,9.677639,-99.99,-99.99,DG1164.03.4723,-99.99,15.408,-99.99,4.9976335,0.0002456,2460003.2576,0.181,0.201,4.242,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1460,F,19.148147,12.324028,-99.99,-99.99,DG1162.11.151,-99.99,14.958,-99.99,3.8613726,0.0001432,2460000.633,0.463,0.387,4.558,0.158,2.951,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1461,F,19.1489,10.9175,-99.99,-99.99,DG1163.03.23475,-99.99,17.389,-99.99,2.4889555,6.48e-05,2460002.0625,0.595,0.473,4.203,0.214,2.104,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1462,F,19.151053,6.463556,-99.99,-99.99,DG1333.20.9,-99.99,12.228,-99.99,4.2395613,0.0002366,2460002.1483,0.35,0.301,4.383,0.109,2.734,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1463,F,19.151156,11.498444,-99.99,-99.99,DG1163.20.22345,-99.99,15.629,-99.99,4.7708427,0.0002405,2460003.206,0.294,0.334,4.685,0.101,3.328,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1464,F,19.151419,8.439389,-99.99,-99.99,DG1165.03.5801,-99.99,17.524,-99.99,13.7222174,0.0028284,2460009.1954,0.504,0.15,4.307,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1465,F,19.154483,10.341722,-99.99,-99.99,DG1164.20.12122,-99.99,16.98,-99.99,6.3221305,0.000881,2460000.5143,0.348,0.365,5.231,0.11,3.482,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1466,F,19.158667,11.815139,-99.99,-99.99,DG1163.27.5,V1795 Aql,11.225,-99.99,20.8265344,0.0024855,2460016.3609,0.573,0.224,4.509,0.136,2.122,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1467,1,19.164672,16.183944,-99.99,-99.99,DG1159.10.13961,-99.99,14.603,-99.99,2.129994,3.89e-05,2460001.8825,0.245,0.113,4.368,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1468,1,19.16815,11.72025,-99.99,-99.99,DG1163.26.551,-99.99,15.954,-99.99,2.14542,5.46e-05,2460000.4379,0.287,0.156,4.583,0.063,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1469,F,19.168558,13.751194,-99.99,-99.99,DG1161.09.22732,-99.99,15.461,-99.99,3.007354,3.57e-05,2460001.8112,0.661,0.546,4.546,0.337,2.68,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1470,F,19.169639,11.530111,-99.99,-99.99,DG1163.18.18886,-99.99,15.517,-99.99,4.9447587,0.0002534,2460001.7409,0.458,0.382,4.614,0.138,3.068,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1471,F,19.169778,11.693028,-99.99,-99.99,DG1163.26.179,-99.99,15.224,-99.99,5.3649814,0.0002614,2460004.5271,0.373,0.34,4.886,0.105,3.577,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1472,F,19.173228,11.937333,-99.99,-99.99,DG1163.26.24260,-99.99,16.345,-99.99,3.0033155,0.0002512,2460000.9737,0.313,0.379,4.432,0.134,2.71,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1473,F,19.174344,9.689833,-99.99,-99.99,DG1164.01.2788,-99.99,16.929,-99.99,5.755795,0.0010092,2460003.292,0.402,0.361,4.724,0.16,3.231,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1474,F,19.174717,12.744417,-99.99,-99.99,DG1162.18.13776,-99.99,15.804,-99.99,2.9953383,0.0001248,2460002.444,0.26,0.23,4.598,0.115,3.282,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1475,F,19.177008,16.643028,-99.99,-99.99,DG1168.16.272,-99.99,15.843,-99.99,1.2100009,1.85e-05,2460000.3067,0.193,0.282,4.225,0.117,2.617,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1476,F,19.189914,8.618333,-99.99,-99.99,DG1175.32.87,-99.99,15.891,-99.99,34.9119347,0.0119448,2460013.3664,0.734,0.365,4.803,0.234,3.106,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1477,F,19.194211,11.632861,-99.99,-99.99,DG1172.07.14750,-99.99,16.369,-99.99,4.3690411,0.0005596,2460003.0629,0.438,0.413,4.54,0.091,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1478,F,19.195783,14.686306,-99.99,-99.99,DG1170.23.12976,-99.99,15.209,-99.99,2.9315397,6.5e-05,2460001.8769,0.529,0.43,4.34,0.228,2.342,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1479,1,19.195986,12.00175,-99.99,-99.99,DG1172.23.155,-99.99,15.047,-99.99,1.7058702,0.0001061,2460001.4804,0.235,0.164,4.438,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1480,1,19.196289,11.608389,-99.99,-99.99,DG1172.06.13595,-99.99,14.403,-99.99,0.4195039,3.2e-06,2460000.059,0.188,0.21,3.203,0.042,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1482,F,19.198953,10.113444,-99.99,-99.99,DG1174.31.2911,-99.99,16.577,-99.99,12.6704541,0.0015911,2460004.7547,0.726,0.184,4.62,0.114,1.596,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1483,F,19.201572,14.22025,-99.99,-99.99,DG1170.14.871,-99.99,16.092,-99.99,2.8729007,5.17e-05,2460002.4817,0.374,0.411,4.474,0.224,2.757,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1484,F,19.201867,12.973028,-99.99,-99.99,DG1171.14.423,-99.99,16.563,-99.99,3.8981391,0.000187,2460003.1911,0.395,0.37,4.601,0.202,2.957,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1485,F,19.203558,13.963444,-99.99,-99.99,DG1170.06.13138,-99.99,16.548,-99.99,2.7840687,4.44e-05,2460001.9582,0.461,0.513,4.54,0.249,2.899,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1486,1,19.206397,13.376778,-99.99,-99.99,DG1171.22.8056,-99.99,15.524,-99.99,3.9962729,5.54e-05,2460001.3933,0.186,0.176,3.866,0.131,1.575,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1487,F,19.207792,16.499194,-99.99,-99.99,DG1168.05.13995,-99.99,16.065,-99.99,1.4751772,5.06e-05,2460000.4391,0.406,0.394,4.182,0.217,2.343,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1488,1,19.209917,13.918222,-99.99,-99.99,DG1170.05.949,-99.99,16.621,-99.99,1.7038646,4.32e-05,2460000.9598,0.267,0.228,4.549,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1489,F,19.212644,12.349528,-99.99,-99.99,DG1172.30.955,-99.99,16.91,-99.99,4.5145354,0.0003046,2460002.5048,0.451,0.43,4.804,0.108,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1490,1,19.221864,15.587361,-99.99,-99.99,DG1169.12.15581,-99.99,15.559,-99.99,3.116509,0.0001272,2460000.1444,0.228,0.123,3.658,0.092,0.747,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1491,F,19.222578,14.171333,-99.99,-99.99,DG1170.12.88,-99.99,13.792,-99.99,20.2557246,0.0039471,2460010.643,0.385,0.166,5.164,0.082,4.271,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1492,F,19.223578,14.297306,-99.99,-99.99,DG1170.12.13177,-99.99,15.571,-99.99,7.4422012,0.0004127,2460005.5135,0.529,0.344,5.375,0.216,3.739,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1493,F,19.225239,10.550583,-99.99,-99.99,DG1173.12.380,-99.99,16.308,-99.99,4.6888886,0.0002553,2460001.7646,0.444,0.349,4.549,0.16,2.777,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1494,F,19.226769,16.8875,-99.99,-99.99,DG1168.20.204,-99.99,15.784,-99.99,4.1445094,0.0007684,2460003.9766,0.366,0.328,4.921,0.16,3.384,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1495,1,19.228639,14.091361,-99.99,-99.99,DG1170.03.14733,-99.99,16.362,-99.99,1.654866,8.21e-05,2460001.2249,0.284,0.171,4.665,0.085,2.345,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1496,F,19.230136,12.171806,-99.99,-99.99,DG1172.20.5342,-99.99,12.745,-99.99,16.4515788,0.0006091,2460001.0067,0.73,0.249,4.814,0.173,2.687,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1497,F,19.230692,12.733972,-99.99,-99.99,DG1171.03.9004,-99.99,17.114,-99.99,6.4651544,0.0003311,2460004.4385,0.518,0.415,5.199,0.129,3.463,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1498,F,19.231758,13.763389,-99.99,-99.99,DG1171.28.12114,-99.99,14.207,-99.99,17.0847885,0.0020141,2460000.6838,0.754,0.265,4.918,0.189,2.76,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1499,F,19.231833,11.953,-99.99,-99.99,DG1172.11.5610,-99.99,15.154,-99.99,49.1418362,0.0308386,2460043.1741,0.645,0.379,5.001,0.186,3.695,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1500,F,19.233506,10.743306,-99.99,-99.99,DG1173.20.35,-99.99,14.299,-99.99,5.6192069,0.0001422,2460001.0474,0.276,0.287,4.739,0.069,3.191,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1501,1,19.23555,15.052028,-99.99,-99.99,DG1169.03.207,-99.99,15.014,-99.99,2.8405962,7.15e-05,2460002.5895,0.212,0.095,4.617,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1502,1,19.238333,11.291667,-99.99,-99.99,DG1173.27.4430,-99.99,10.809,-99.99,6.2742721,0.0004339,2460004.2623,0.171,0.197,5.044,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1503,F,19.239386,12.925972,-99.99,-99.99,DG1171.10.406,-99.99,16.982,-99.99,5.1597259,0.0002536,2460001.3956,0.472,0.393,4.765,0.115,3.458,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1504,F,19.239861,15.593111,-99.99,-99.99,DG1169.10.19049,-99.99,15.668,-99.99,4.2019084,0.0001147,2460003.1067,0.695,0.488,4.604,0.299,3.029,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1505,F,19.240344,12.992111,-99.99,-99.99,DG1171.10.256,-99.99,15.795,-99.99,50.6035486,0.0258121,2460008.2838,0.564,0.372,5.487,0.169,4.698,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1506,1,19.241758,13.272389,-99.99,-99.99,DG1171.19.13,-99.99,12.541,-99.99,4.7216051,0.0001796,2460003.6929,0.174,0.146,3.87,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1507,F,19.245208,12.6885,-99.99,-99.99,DG1171.02.7,-99.99,12.055,-99.99,24.1656274,0.0039128,2460011.0681,0.759,0.339,4.861,0.257,3.28,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1508,F,19.246428,12.62925,-99.99,-99.99,DG1171.02.15,-99.99,13.422,-99.99,7.2435142,0.000275,2460007.07,0.231,0.232,5.277,0.054,4.063,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1509,F,19.246592,14.942306,-99.99,-99.99,DG1170.27.11510,-99.99,15.413,-99.99,3.4830815,6.77e-05,2460001.4682,0.453,0.331,4.413,0.15,2.588,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1510,1,19.253806,9.825111,-99.99,-99.99,DG1174.26.17,-99.99,13.812,-99.99,2.2166783,5.55e-05,2460000.4459,0.208,0.119,4.623,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1511,1,19.256925,15.489944,-99.99,-99.99,DG1169.09.880,-99.99,16.134,-99.99,1.8339768,6.15e-05,2460000.55,0.188,0.181,4.923,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1512,F,19.257531,12.784139,-99.99,-99.99,DG1171.01.6592,-99.99,13.031,-99.99,5.8301393,0.00048,2460001.0244,0.279,0.268,4.937,0.027,3.843,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1513,F,19.263256,13.458417,-99.99,-99.99,DG1171.17.9196,-99.99,16.37,-99.99,6.8129573,0.0003459,2460000.9128,0.457,0.36,5.224,0.118,3.479,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1514,F,19.264694,12.619028,-99.99,-99.99,DG1184.25.14,-99.99,13.159,-99.99,6.5330778,0.0007465,2460005.3677,0.497,0.305,4.91,0.077,2.684,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1515,F,19.265417,12.632778,-99.99,-99.99,DG1184.25.18,-99.99,12.791,-99.99,7.0328101,0.0008375,2460002.9947,0.379,0.182,5.313,0.045,6.214,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1516,F,19.269494,9.180667,-99.99,-99.99,DG1187.24.7121,-99.99,12.252,-99.99,5.2513901,0.0006453,2460000.362,0.357,0.255,4.739,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1517,F,19.272744,13.103806,-99.99,-99.99,DG1184.32.3006,-99.99,16.645,-99.99,7.1986309,0.0007494,2460003.0105,0.375,0.278,5.163,0.182,3.291,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1518,F,19.274647,20.49525,-99.99,-99.99,DG1178.32.5794,-99.99,16.039,-99.99,2.5011802,0.0003003,2460001.0111,0.248,0.233,4.619,0.122,4.792,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1519,F,19.278456,11.393639,-99.99,-99.99,DG1185.23.87,-99.99,15.594,-99.99,16.8548796,0.0070435,2460003.8503,0.713,0.299,4.928,0.142,2.96,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1520,F,19.278533,13.341556,-99.99,-99.99,DG1183.06.8653,-99.99,14.962,-99.99,15.7927986,0.0034386,2460013.9522,0.589,0.097,4.173,0.051,1.985,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1521,F,19.282694,13.787111,-99.99,-99.99,DG1183.14.8274,-99.99,17.28,-99.99,5.4320678,0.0005431,2460000.9719,0.382,0.327,5.006,0.133,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1522,F,19.284097,14.154361,-99.99,-99.99,DG1183.31.568,-99.99,16.767,-99.99,7.2980913,0.0008344,2460003.7146,0.479,0.292,5.015,0.188,3.711,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1523,F,19.286278,14.974667,-99.99,-99.99,DG1182.14.13403,-99.99,16.346,-99.99,7.8323584,0.0007384,2460006.9625,0.433,0.243,4.845,0.095,3.254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1524,F,19.292439,12.748806,-99.99,-99.99,DG1184.22.4146,-99.99,14.32,-99.99,13.9218101,0.0019732,2460001.5836,0.609,0.227,4.456,0.09,1.926,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1525,F,19.302794,13.02625,-99.99,-99.99,DG1184.29.104,-99.99,15.051,-99.99,8.83723,0.0007046,2460001.942,0.39,0.327,5.366,0.058,3.557,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1526,1,19.307317,10.24125,-99.99,-99.99,DG1186.21.3,-99.99,11.674,-99.99,3.9535101,0.0003767,2460001.3002,0.259,0.147,3.869,0.046,1.66,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1527,F,19.310856,17.245,-99.99,-99.99,DG1180.12.377,-99.99,16.901,-99.99,4.6037569,0.0003236,2460004.433,0.469,0.351,4.818,0.237,3.462,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-GD-CEP-1528,F,19.316853,16.730306,-99.99,-99.99,DG1181.28.560,-99.99,16.61,-99.99,6.0949596,0.000635,2460004.126,0.293,0.389,5.083,0.138,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
