V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
1.209,OGLE-BLG-CEP-029,F,18.126506,-28.907056,-99.99,BLG209.7.220490,-99.99,-99.99,14.32,15.529,2.3760846,3.81e-05,2460001.6855,0.334,0.311,4.642,0.186,2.847,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.315,OGLE-BLG-CEP-030,123,18.167667,-25.860806,BUL_SC16_353674,BLG251.6.52223,-99.99,-99.99,14.184,15.499,0.2303703,2e-07,2460000.0913,0.111,0.134,3.765,0.021,1.908,0.182984,5e-07,2460000.095,0.027,0.0,-99.99,0.0,-99.99,0.1521731,2e-07,2460000.0421,0.034,0.0,-99.99,0.0,-99.99,
1.132,OGLE-BLG-CEP-031,F,18.225811,-26.3935,-99.99,-99.99,-99.99,V1828 Sgr,11.839,12.971,12.9751466,0.0011364,2460008.4513,0.617,0.393,4.768,0.121,3.246,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.671,OGLE-BLG-CEP-032,F,18.268572,-24.882361,-99.99,BLG266.7.10160,BLG545.18.3038,-99.99,15.066,16.737,3.7364307,1.5e-06,2460000.5439,0.485,0.424,4.491,0.226,2.753,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.538,OGLE-BLG-CEP-033,1,17.407433,-30.029333,-99.99,-99.99,BLG615.12.53143,-99.99,16.104,17.642,0.39351,3e-07,2460000.3898,0.246,0.046,2.522,0.09,6.185,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.543,OGLE-BLG-CEP-034,1,17.407969,-26.3765,-99.99,-99.99,BLG619.05.26296,-99.99,15.65,17.193,0.4746541,8e-07,2460000.339,0.213,0.119,1.859,0.189,5.382,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.116,OGLE-BLG-CEP-035,1,17.466175,-27.89775,-99.99,-99.99,BLG612.24.22680,-99.99,16.934,19.05,0.4685696,3e-07,2460000.1021,0.224,0.084,3.229,0.062,6.018,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.805,OGLE-BLG-CEP-036,1,17.469725,-28.123611,-99.99,-99.99,BLG612.15.12252,-99.99,15.745,17.55,1.1949535,4e-07,2460001.165,0.306,0.171,4.584,0.037,2.795,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.536,OGLE-BLG-CEP-037,F,17.485222,-30.649917,-99.99,-99.99,BLG662.13.36391,-99.99,18.18,21.716,1.6005475,1.4e-06,2460000.9933,0.545,0.466,4.214,0.304,2.229,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.957,OGLE-BLG-CEP-038,F,17.509286,-29.216417,-99.99,-99.99,BLG613.20.57799,-99.99,15.682,18.639,5.2448058,4.2e-06,2460001.2566,0.615,0.453,4.897,0.185,3.39,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
